10,51
60,1971
110,6879
160,14389
210,22247
260,34269
310,47711
360,63457
410,80219
460,97435
510,123631
560,142759
610,176029
660,206743
710,239873
760,275095
810,316609
860,356495
910,399825
960,442809
1010,485243
1060,538703
1110,599911
1160,653409
1210,719499
1260,788163
1310,855011
1360,925309
1410,991565
1460,1060615
1510,1135651
1560,1209787
1610,1291791
1660,1366345
1710,1449573
1760,1536143
1810,1626361
1860,1716595
1910,1806769
1960,1908901
2010,2021139
2060,2121983
2110,2227015
2160,2331751
2210,2456093
2260,2559643
2310,2684977
2360,2791631
2410,2894867
2460,3010489
2510,3130457
2560,3249007
2610,3382955
2660,3508791
2710,3644519
2760,3770017
2810,3906801
2860,4053037
2910,4186343
2960,4333421
3010,4498639
3060,4644885
3110,4796967
3160,4960531
3210,5118407
3260,5253991
3310,5423277
3360,5606403
3410,5776599
3460,5930337
3510,6106047
3560,6292659
3610,6484289
3660,6679247
3710,6868371
3760,7077413
3810,7251777
3860,7427105
3910,7611397
3960,7816481
4010,8005323
4060,8190003
4110,8400437
4160,8588203
4210,8809889
4260,9009961
4310,9181443
4360,9411521
4410,9633427
4460,9889919
4510,10111855
4560,10367291
4610,10588465
4660,10848475
4710,11040295
4760,11255687
4810,11491931
4860,11726129
4910,11978695
4960,12257967
5010,12477321
5060,12733557
5110,13004529
5160,13238293
5210,13494039
5260,13734403
5310,13981277
5360,14273643
5410,14554297
5460,14826485
5510,15133889
5560,15400543
5610,15668957
5660,15931407
5710,16201303
5760,16470453
5810,16756491
5860,17053767
5910,17343695
5960,17675175
6010,17926125
6060,18215891
6110,18489183
6160,18839979
6210,19187687
6260,19476689
6310,19814813
6360,20103339
6410,20425415
6460,20727783
6510,21048047
6560,21392683
6610,21651789
6660,22019769
6710,22352191
6760,22737055
6810,23071911
6860,23418321
6910,23725813
6960,24072257
7010,24411401
7060,24702579
7110,25091001
7160,25414079
7210,25768641
7260,26145529
7310,26520941
7360,26909353
7410,27282637
7460,27649951
7510,28035503
7560,28384209
7610,28814241
7660,29205543
7710,29547425
7760,29987641
7810,30386125
7860,30795031
7910,31215639
7960,31618087
8010,32056351
8060,32489087
8110,32896125
8160,33298285
8210,33701703
8260,34127659
8310,34590751
8360,34991583
8410,35400803
8460,35808053
8510,36243175
8560,36640101
8610,37111651
8660,37542521
8710,37954609
8760,38384029
8810,38806619
8860,39203769
8910,39669701
8960,40098973
9010,40593005
9060,41061997
9110,41466967
9160,41903749
9210,42351835
9260,42778409
9310,43250259
9360,43736605
9410,44221055
9460,44709367
9510,45210695
9560,45690641
9610,46173621
9660,46576539
9710,47034643
9760,47464987
9810,47972297
9860,48425253
9910,49000757
9960,49461887
10000,49855745
